product_link,name,image_url,price,discount,ratings,solds,deliver_durations,location,brand_name,category
https://shopee.vn/COMBO-PH%E1%BB%A4C-H%E1%BB%92I-DA-Serum-The-Ordinary-Niacinamide-10-v%C3%A0-Kem-D%C6%B0%E1%BB%A1ng-B5-La-Roche-Posay-Cicaplast-Baume-40ml-i.492651922.23656840504?sp_atk=996b6ca2-d04c-42dd-8892-517f0285d425&xptdk=996b6ca2-d04c-42dd-8892-517f0285d425,COMBO PHỤC HỒI DA Serum The Ordinary Niacinamide 10% và Kem Dưỡng B5 La Roche-Posay Cicaplast Baume 40ml,https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466mp4h2eu8a8,534000,-11%,None,0,2 - 4 ngày,Đà Nẵng,La Roche-Posay,Chăm sóc da mặt
https://shopee.vn/Kem-Ch%E1%BB%91ng-N%E1%BA%AFng-La-Roche-Posay-Anthelios-Light-Fluid-Sunscreen-SPF60-M%E1%BB%B9-i.1037695610.23649015564?sp_atk=616ccc27-2f62-4c6b-adb1-bafc1cfcb542&xptdk=616ccc27-2f62-4c6b-adb1-bafc1cfcb542,Kem Chống Nắng La Roche-Posay Anthelios Light Fluid Sunscreen SPF60 Mỹ,https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466p4x2l9sfd1,430000,None,5.0,14,1 - 2 ngày,TP. Hồ Chí Minh,La Roche-Posay,Chăm sóc da mặt
https://shopee.vn/Gel-R%E1%BB%ADa-M%E1%BA%B7t-LA-ROCHE-POSAY-Effaclar-Gel-Moussant-Purifiant-i.1010747020.23645076690?sp_atk=b57ec0af-098e-4131-8684-03d56b68ec10&xptdk=b57ec0af-098e-4131-8684-03d56b68ec10,Gel Rửa Mặt LA ROCHE-POSAY Effaclar Gel Moussant Purifiant,https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466mp4h2eu8a8,379000,-22%,4.3,12,Hôm nay,TP. Hồ Chí Minh,La Roche-Posay,Chăm sóc da mặt
https://shopee.vn/Gel-R%E1%BB%ADa-M%E1%BA%B7t-T%E1%BA%A1o-B%E1%BB%8Dt-La-Roche-Posay-Effaclar-Purifying-Foaming-L%C3%A0m-S%E1%BA%A1ch-D%C3%A0nh-Cho-Da-D%E1%BA%A7u-Nh%E1%BA%A1y-C%E1%BA%A3m-i.965365380.23638268539?sp_atk=ee6dd03f-933a-4fa6-931b-f11d3a3d38e1&xptdk=ee6dd03f-933a-4fa6-931b-f11d3a3d38e1,Gel Rửa Mặt Tạo Bọt La Roche Posay Effaclar Purifying Foaming Làm Sạch Dành Cho Da Dầu Nhạy Cảm,https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466c75w5ybr2d,379000,-36%,5.0,15,3 - 4 ngày,Hà Nội,La Roche-Posay,Chăm sóc da mặt
https://shopee.vn/Kem-Ch%E1%BB%91ng-N%E1%BA%AFng-La-Roche-Posay-Uvidea-UV-Idea-Tone-Up-Rose-Sunscreen-SPF50-L%C3%A0m-S%C3%A1ng-Da-30ml-i.895286833.23613181805?sp_atk=8efb1dae-79d6-486c-9a0e-f005af5a2f8b&xptdk=8efb1dae-79d6-486c-9a0e-f005af5a2f8b,Kem Chống Nắng La Roche Posay Uvidea UV Idea Tone Up Rose Sunscreen SPF50+ Làm Sáng Da 30ml,https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466mp4h2eu8a8,599000,-18%,5.0,90,1 - 3 ngày,TP. Hồ Chí Minh,La Roche-Posay,Chăm sóc da mặt
https://shopee.vn/Kem-ch%E1%BB%91ng-n%E1%BA%AFng-La-Roche-Posay-Anthelios-Cooling-Water-Lotion-Sunscreen-SPF-100-60-(-90mL-150mL-)-i.55127316.23609296642?sp_atk=123355d6-8376-4e52-8f01-129273f4174a&xptdk=123355d6-8376-4e52-8f01-129273f4174a,Kem chống nắng La Roche Posay / Anthelios Cooling Water-Lotion Sunscreen SPF 100 - 60 ( 90mL- 150mL ),https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466p4x2l9sfd1,300000,None,5.0,38,None,TP. Hồ Chí Minh,La Roche-Posay,Chăm sóc da mặt
https://shopee.vn/La-Roche-Posay-Lotion-Effaclar-N%C6%B0%E1%BB%9Bc-C%C3%A2n-B%E1%BA%B1ng-Cho-Da-H%E1%BB%97n-H%E1%BB%A3p-D%E1%BA%A7u-M%E1%BB%A5n-200ml-i.250862943.23587388511?sp_atk=dd6d0bdb-812d-407e-a2d0-305824d297a1&xptdk=dd6d0bdb-812d-407e-a2d0-305824d297a1,"La Roche-Posay Lotion Effaclar - Nước Cân Bằng Cho Da Hỗn Hợp, Dầu, Mụn 200ml",https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466mp4h2eu8a8,350000,-31%,5.0,22,3 - 4 ngày,Hà Nội,La Roche-Posay,Chăm sóc da mặt
https://shopee.vn/-HB-Gift-H%C3%A0ng-t%E1%BA%B7ng-kh%C3%B4ng-b%C3%A1n-N%C3%B3n-th%E1%BB%9Di-trang-La-Roche-Posay-i.169424786.23587204327?sp_atk=1b67b106-92c2-4fec-85c0-02e221f272d5&xptdk=1b67b106-92c2-4fec-85c0-02e221f272d5,[HB Gift - Hàng tặng không bán] Nón thời trang La Roche-Posay,https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466mp4h2eu8a8,30000,None,5.0,5,Hôm nay,TP. Hồ Chí Minh,La Roche-Posay,Chăm sóc da mặt
https://shopee.vn/-H%C3%80NG-CTY-S%E1%BB%AFa-Ch%E1%BB%91ng-N%E1%BA%AFng-La-Roche-Posay-Anthelios-Oil-Control-Fluid-SPF-50-d%C3%A0nh-cho-da-nh%E1%BA%A1y-c%E1%BA%A3m-50ml-NEON-BEAUTY-i.8136472.23580317835?sp_atk=4282f5aa-d819-41b5-bcf8-43df11de8f76&xptdk=4282f5aa-d819-41b5-bcf8-43df11de8f76,[HÀNG CTY] Sữa Chống Nắng La Roche Posay Anthelios Oil Control Fluid SPF 50+ dành cho da nhạy cảm 50ml - NEON BEAUTY,https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466mp4h2eu8a8,119000,-39%,4.9,70,Hôm nay,TP. Hồ Chí Minh,La Roche-Posay,Chăm sóc da mặt
https://shopee.vn/-H%C3%80NG-C%C3%94NG-TY-Serum-Ph%E1%BB%A5c-H%E1%BB%93i-Da-La-Roche-Posay-Hyalu-B5-i.25564322.23561236740?sp_atk=5b187d83-e5bf-45fd-ad99-811cb73e36d6&xptdk=5b187d83-e5bf-45fd-ad99-811cb73e36d6,[HÀNG CÔNG TY] Serum Phục Hồi Da La Roche-Posay Hyalu B5,https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466p4x2l9sfd1,159000,-39%,5.0,90,3 - 4 ngày,Hà Nội,La Roche-Posay,Chăm sóc da mặt
https://shopee.vn/Kem-Ch%E1%BB%91ng-N%E1%BA%AFng-Ki%E1%BB%81m-D%E1%BA%A7u-12H-La-Roche-Posay-Anthelios-Uvmune-400-Gel-Cream-15Ml-i.152872415.23558103252?sp_atk=d2180062-995f-4462-87f0-74cc09e98bf7&xptdk=d2180062-995f-4462-87f0-74cc09e98bf7,Kem Chống Nắng Kiềm Dầu 12H La Roche-Posay Anthelios Uvmune 400 Gel Cream 15Ml,https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466mp4h2eu8a8,250000,None,5.0,3,1 - 2 ngày,TP. Hồ Chí Minh,La Roche-Posay,Chăm sóc da mặt
https://shopee.vn/(S%E1%BA%B5n)-S%E1%BB%AFa-r%E1%BB%ADa-m%E1%BA%B7t-d%E1%BA%A1ng-gel-La-Roche-Posay-Effaclar-Purifying-Foaming-Gel-i.30803884.23550951672?sp_atk=6f0404f1-ad63-40f7-ad31-01cb85db7989&xptdk=6f0404f1-ad63-40f7-ad31-01cb85db7989,(Sẵn) Sữa rửa mặt dạng gel La Roche Posay Effaclar Purifying Foaming Gel,https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466mp4h2eu8a8,75000,-50%,None,1,Hôm nay,Đồng Nai,La Roche-Posay,Chăm sóc da mặt
https://shopee.vn/Kem-d%C6%B0%E1%BB%A1ng-La-Roche-Posay-l%C3%A0m-d%E1%BB%8Bu-h%E1%BB%97-tr%E1%BB%A3-ph%E1%BB%A5c-h%E1%BB%93i-da-100ml-Glam-Beautique-i.703059764.23539696552?sp_atk=fcdbd1e3-6502-4412-a2b1-f6c3d62e227c&xptdk=fcdbd1e3-6502-4412-a2b1-f6c3d62e227c,Kem dưỡng La Roche-Posay làm dịu hỗ trợ phục hồi da 100ml Glam Beautique,https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466mp4h2eu8a8,599000,-10%,None,1,1 - 2 ngày,TP. Hồ Chí Minh,La Roche-Posay,Chăm sóc da mặt
https://shopee.vn/La-Roche-Posay-Kem-D%C6%B0%E1%BB%A1ng-L%C3%A0m-D%E1%BB%8Bu-V%C3%A0-Ph%E1%BB%A5c-H%E1%BB%93i-Da-Cicaplast-Baume-B5-Soothing-Repairing-Balm-40Ml-100Ml-i.169424786.23522549414?sp_atk=88d10929-335e-437e-b2d3-c422233b7c91&xptdk=88d10929-335e-437e-b2d3-c422233b7c91,La Roche-Posay Kem Dưỡng Làm Dịu Và Phục Hồi Da Cicaplast Baume B5 Soothing Repairing Balm 40Ml/100Ml,https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466mp4h2eu8a8,349000,-11%,4.0,18,Hôm nay,TP. Hồ Chí Minh,La Roche-Posay,Chăm sóc da mặt
https://shopee.vn/Kem-D%C6%B0%E1%BB%A1ng-Da-La-Roche-Posay-L%C3%A0m-D%E1%BB%8Bu-K%C3%ADch-%E1%BB%A8ng-Ph%E1%BB%A5c-H%E1%BB%93i-Da-B5-40-100ml-i.83432445.23518677609?sp_atk=cc4cb7ad-c4f1-49de-a1d6-0cfe3163e742&xptdk=cc4cb7ad-c4f1-49de-a1d6-0cfe3163e742,Kem Dưỡng Da La Roche-Posay Làm Dịu Kích Ứng & Phục Hồi Da B5 40/100ml,https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466mp4h2eu8a8,275000,-44%,4.8,78,Hôm nay,TP. Hồ Chí Minh,La Roche-Posay,Chăm sóc da mặt
https://shopee.vn/50ML-CH%C3%8DNH-H%C3%83NG-N%C6%B0%E1%BB%9Bc-X%E1%BB%8Bt-Kho%C3%A1ng-L%C3%A0m-D%E1%BB%8Bu-v%C3%A0-B%E1%BA%A3o-V%E1%BB%87-Da-nh%E1%BA%A1y-c%E1%BA%A3m-La-Roche-Posay-i.199740429.23515542713?sp_atk=128f18ac-aca1-4b79-bbfd-a5526caac6ac&xptdk=128f18ac-aca1-4b79-bbfd-a5526caac6ac,50ML-[CHÍNH HÃNG] Nước Xịt Khoáng Làm Dịu và Bảo Vệ Da nhạy cảm La Roche-Posay,https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466mp4h2eu8a8,49000,-29%,4.9,2100,Hôm nay,TP. Hồ Chí Minh,La Roche-Posay,Chăm sóc da mặt
https://shopee.vn/Kem-ch%E1%BB%91ng-n%E1%BA%AFng-La-Roche-Posay-Anthelious-SPF-50-kem-ch%E1%BB%91ng-n%E1%BA%AFng-cho-da-d%E1%BA%A7u-nh%E1%BA%A1y-c%E1%BA%A3m-i.51879256.23482704618?sp_atk=ebb0eebb-36fb-424a-884b-37e4b945026b&xptdk=ebb0eebb-36fb-424a-884b-37e4b945026b,"Kem chống nắng La Roche-Posay Anthelious SPF 50+, kem chống nắng cho da dầu nhạy cảm",https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466c75w5ybr2d,335000,-16%,5.0,34,2 - 4 ngày,Hà Nội,La Roche-Posay,Chăm sóc da mặt
